row_id,person_id,name,region,tier,active,access_required,source_id
R001,P001,교육대상001,서울,mandatory,true,true,HR-BASE-0920
R002,P002,교육대상002,서울,mandatory,true,true,HR-BASE-0920
R003,P003,교육대상003,서울,mandatory,true,true,HR-BASE-0920
R004,P004,교육대상004,서울,mandatory,true,true,HR-BASE-0920
R005,P005,교육대상005,서울,mandatory,true,false,HR-BASE-0920
R006,P006,교육대상006,서울,mandatory,true,true,HR-BASE-0920
R007,P007,교육대상007,서울,mandatory,true,true,HR-BASE-0920
R008,P008,교육대상008,서울,mandatory,true,true,HR-BASE-0920
R009,P009,교육대상009,서울,mandatory,true,true,HR-BASE-0920
R010,P010,교육대상010,서울,optional,true,true,HR-BASE-0920
R011,P011,교육대상011,서울,mandatory,true,true,HR-BASE-0920
R012,P012,교육대상012,서울,mandatory,true,true,HR-BASE-0920
R013,P013,교육대상013,서울,mandatory,true,false,HR-BASE-0920
R014,P014,교육대상014,서울,mandatory,true,false,HR-BASE-0920
R015,P015,교육대상015,서울,mandatory,true,false,HR-BASE-0920
R016,P016,교육대상016,대전,mandatory,true,false,HR-BASE-0920
R017,P017,교육대상017,대전,mandatory,true,false,HR-BASE-0920
R018,P018,교육대상018,대전,mandatory,true,false,HR-BASE-0920
R019,P019,교육대상019,대전,mandatory,true,false,HR-BASE-0920
R020,P020,교육대상020,대전,mandatory,true,false,HR-BASE-0920
R021,P021,교육대상021,대전,mandatory,true,false,HR-BASE-0920
R022,P022,교육대상022,대전,mandatory,true,false,HR-BASE-0920
R023,P023,교육대상023,대전,mandatory,true,false,HR-BASE-0920
R024,P024,교육대상024,대전,mandatory,true,false,HR-BASE-0920
R025,P025,교육대상025,대전,mandatory,true,false,HR-BASE-0920
R026,P026,교육대상026,대전,mandatory,true,false,HR-BASE-0920
R027,P027,교육대상027,대전,mandatory,true,false,HR-BASE-0920
R028,P028,교육대상028,대전,mandatory,true,false,HR-BASE-0920
R029,P029,교육대상029,대전,mandatory,true,false,HR-BASE-0920
R030,P030,교육대상030,대전,mandatory,true,false,HR-BASE-0920
R031,P031,교육대상031,부산,mandatory,true,false,HR-BASE-0920
R032,P032,교육대상032,부산,mandatory,true,false,HR-BASE-0920
R033,P033,교육대상033,부산,mandatory,true,false,HR-BASE-0920
R034,P034,교육대상034,부산,mandatory,true,false,HR-BASE-0920
R035,P035,교육대상035,부산,mandatory,true,false,HR-BASE-0920
R036,P036,교육대상036,부산,mandatory,true,false,HR-BASE-0920
R037,P037,교육대상037,부산,mandatory,true,false,HR-BASE-0920
R038,P038,교육대상038,부산,mandatory,true,false,HR-BASE-0920
R039,P039,교육대상039,부산,mandatory,true,false,HR-BASE-0920
R040,P040,교육대상040,부산,mandatory,true,false,HR-BASE-0920
R041,P041,교육대상041,부산,mandatory,true,false,HR-BASE-0920
R042,P042,교육대상042,부산,mandatory,true,false,HR-BASE-0920
R043,P043,교육대상043,부산,mandatory,true,false,HR-BASE-0920
R044,P044,교육대상044,부산,mandatory,true,false,HR-BASE-0920
R045,P045,교육대상045,부산,mandatory,true,false,HR-BASE-0920
R046,P046,교육대상046,광주,mandatory,true,false,HR-BASE-0920
R047,P047,교육대상047,광주,mandatory,true,false,HR-BASE-0920
R048,P048,교육대상048,광주,mandatory,true,false,HR-BASE-0920
R049,P049,교육대상049,광주,mandatory,true,false,HR-BASE-0920
R050,P050,교육대상050,광주,mandatory,true,false,HR-BASE-0920
R051,P051,교육대상051,광주,mandatory,true,false,HR-BASE-0920
R052,P052,교육대상052,광주,mandatory,true,false,HR-BASE-0920
R053,P053,교육대상053,광주,mandatory,true,false,HR-BASE-0920
R054,P054,교육대상054,광주,mandatory,true,false,HR-BASE-0920
R055,P055,교육대상055,광주,mandatory,true,false,HR-BASE-0920
R056,P056,교육대상056,광주,mandatory,true,false,HR-BASE-0920
R057,P057,교육대상057,광주,mandatory,true,false,HR-BASE-0920
R058,P058,교육대상058,광주,mandatory,true,false,HR-BASE-0920
R059,P059,교육대상059,광주,mandatory,true,false,HR-BASE-0920
R060,P060,교육대상060,광주,mandatory,true,false,HR-BASE-0920
R061,P061,교육대상061,서울,mandatory,true,false,HR-BASE-0920
R062,P062,교육대상062,서울,optional,true,false,HR-BASE-0920
R063,P063,교육대상063,서울,optional,true,false,HR-BASE-0920
R064,P064,교육대상064,대전,optional,true,false,HR-BASE-0920
R065,P065,교육대상065,대전,optional,true,false,HR-BASE-0920
R066,P066,교육대상066,대전,optional,true,false,HR-BASE-0920
R067,P067,교육대상067,부산,optional,true,false,HR-BASE-0920
R068,P068,교육대상068,부산,optional,true,false,HR-BASE-0920
R069,P069,교육대상069,부산,optional,true,false,HR-BASE-0920
R070,P070,교육대상070,광주,optional,true,false,HR-BASE-0920
R071,P071,교육대상071,광주,optional,true,false,HR-BASE-0920
R072,P072,교육대상072,광주,optional,false,false,HR-BASE-0920
